"affy_hg_u133_plus_2","ensembl_gene_id","gene_biotype","external_gene_name","p_value"
"201104_x_at","ENSG00000271254","protein_coding","",NA
"202809_s_at","ENSG00000262826","protein_coding","INTS3",NA
"204166_at","ENSG00000278788","protein_coding","SBNO2",NA
"202809_s_at","ENSG00000263163","protein_coding","SLC27A3",NA
"201681_s_at","ENSG00000274429","protein_coding","DLG5",NA
"203122_at","ENSG00000274891","protein_coding","TRAPPC12",NA
"202245_at","ENSG00000281289","protein_coding","LSS",NA
"203957_at","ENSG00000278573","pseudogene","",NA
"201665_x_at","ENSG00000278229","protein_coding","RPS17",NA
"203957_at","ENSG00000278066","pseudogene","",NA
"201759_at","ENSG00000278759","protein_coding","TBCD",NA
"204860_s_at","ENSG00000281380","unprocessed_pseudogene","",NA
"203852_s_at","ENSG00000273772","protein_coding","SMN2",NA
"200089_s_at","ENSG00000263127","processed_pseudogene","RPL4P5",NA
"201642_at","ENSG00000262795","protein_coding","IFNGR2",NA
"203933_at","ENSG00000275338","protein_coding","RAB11FIP3",NA
"202000_at","ENSG00000272765","protein_coding","NDUFA6",NA
"202001_s_at","ENSG00000272765","protein_coding","NDUFA6",NA
"200032_s_at","ENSG00000273673","transcribed_processed_pseudogene","",NA
"202000_at","ENSG00000273397","protein_coding","NDUFA6",NA
"202001_s_at","ENSG00000273397","protein_coding","NDUFA6",NA
"204861_s_at","ENSG00000276068","protein_coding","NAIP",NA
"204860_s_at","ENSG00000276068","protein_coding","NAIP",NA
"203239_s_at","ENSG00000276082","protein_coding","CNOT3",NA
"203229_s_at","ENSG00000261893","protein_coding","CLK2",NA
"203239_s_at","ENSG00000273943","protein_coding","CNOT3",NA
"201771_at","ENSG00000263290","protein_coding","SCAMP3",NA
"204927_at","ENSG00000273859","protein_coding","RASSF7",NA
"202591_s_at","ENSG00000262771","protein_coding","SSBP1",NA
"203852_s_at","ENSG00000275349","protein_coding","SMN1",NA
"203239_s_at","ENSG00000275979","protein_coding","CNOT3",NA
"202408_s_at","ENSG00000274894","protein_coding","PRPF31",NA
"202407_s_at","ENSG00000274894","protein_coding","PRPF31",NA
"202408_s_at","ENSG00000276421","protein_coding","PRPF31",NA
"202407_s_at","ENSG00000276421","protein_coding","PRPF31",NA
"203550_s_at","ENSG00000262666","protein_coding","FAM189B",NA
"202408_s_at","ENSG00000277953","protein_coding","PRPF31",NA
